a 可
ahva 擣
ahvc 𭡊
ahvm 搕
ahvr 𭡟
ahvv 抾
ahwo 扤
ahwy 掅
ahwy 聙
ahyi 𭠶
ahyu 撎
ai 接
aiak 𬻡
aicn 接
aicn 𮋵
aid 拉
aido 拉
aie 护
aieo 护
aife 𭢭
aifm 𭣋
aifw 鿜
aiht 𭢻
aihv 𭡚
aii 七
aiia 七
aij 職
aijd 𭢓
aijg 職
aijq 摬
aijr 揞
aijs 𭢺
aik 撞
aikk 撞
ail 掊
ailo 摝
ailv 掊
aimc 𭢃
aimq 挱
ainc 揙
ainp 𭢬
ainr 攟
aipm 攗
aiqw 摌
aire 𭡭
airh 攈
ais 捩
aisq 捩
aiw 掮
aiwm 攏
aiwy 掮
aixx 搧
aiy 搅
aiyk 搅
aiym 撹
aj 提
aja 撮
ajab 撮
ajb 摞
ajbs 摞
ajcb 𭠼
aje 撂
ajel 撂
ajf 揚
ajfi 担
ajfk 𭡹
ajfk 𭻛
ajfn 提
ajft 揚
ajfv 捰
ajgf 揋
ajh 捏
ajhg 捍
ajht 捏
ajj 丌
ajja 丌
ajjj 攂
ajkw 𭠽
ajmb 摱
ajmn 揾
ajom 撔
ajqo 𭡏
ajro 抇
ajrr 掍
ajrr 𭡨
ajs 揣
ajsr 揣
ajtm 𭡧
ajw 揭
ajwg 𭡦
ajwi 摧
ajwl 攜
ajwm 擝
ajwr 掲
ajwt 掦
ajwu 𱰑
ajwx 揭
ajxg 捑
ajxx 搨
ajyi 揌
ak 下
akak 挊
akbu 捜
akcw 𭺟
ake 抻
akel 擱
akeo 抻
akf 攔
akfa 𮠕
akfl 挏
akfu 攔
akgd 抰
akgn 撋
akgo 𭠙
akh 聃
akht 聃
akht 抩
akj 押
akjo 押
akk 下
akka 下
akkc 撄
akkk 丅
akko 捚
akkw 瓼
akm 拤
akmb 掓
akmo 拤
akn 捫
akno 捫
ako 抽
akoo 抽
akq 拽
akqp 拽
akrj 𭢶
akru 抐
aks 聘
aksb 撮
aksb 摱
aksi 耼
aksk 聘
akss 擃
akst 捵
aksx 搨
akte 抐
akti 𮦄
aktt 𮦆
aku 撲
akug 撲
akuj 掆
akum 𭡺
akut 擈
akuu 𭡐
akwi 𭣉
akwy 撊
al 事
ala 歌
alae 歌
alae 𭤃
alag 擑
alag 戨
alal 哥
alan 𭇄
alar 揖
alav 𭊣
albd 拐
albu 𭠘
alc 挹
alcb 挹
ald 摟
aldc 摟
alde 擻
alen 聖
alen 挰
alfi 亜
alfy 悪
alg 聖
algn 聖
algn 挰
ali 排
alio 排
alk 损
alkb 损
alkk 聩
alkm 撌
alkm 聵
alkp 𭢵
all 操
alld 撣
allf 操
allq 𭡒
allr 𭇷
allv 捛
alm 損
almb 損
alqr 拀
alrn 捛
